Severity	Code	Description	Project	File	Line	Suppression State
Error (active)	CS0116	A namespace cannot directly contain members such as fields, methods or statements	FormReporting	C:\Users\KTDA\source\repos\MochamaB\FormReporting\obj\Debug\net9.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Views_Shared_Components_Wizards__HorizontalWizard_cshtml.g.cs	758	
Error (active)	CS0116	A namespace cannot directly contain members such as fields, methods or statements	FormReporting	C:\Users\KTDA\source\repos\MochamaB\FormReporting\obj\Debug\net9.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Views_Shared_Components_Wizards__HorizontalWizard_cshtml.g.cs	762	
Error (active)	CS0116	A namespace cannot directly contain members such as fields, methods or statements	FormReporting	C:\Users\KTDA\source\repos\MochamaB\FormReporting\obj\Debug\net9.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Views_Shared_Components_Wizards__HorizontalWizard_cshtml.g.cs	766	
Error (active)	CS0116	A namespace cannot directly contain members such as fields, methods or statements	FormReporting	C:\Users\KTDA\source\repos\MochamaB\FormReporting\obj\Debug\net9.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Views_Shared_Components_Wizards__HorizontalWizard_cshtml.g.cs	770	
Error (active)	RZ1006	The foreach block is missing a closing "}" character.  Make sure you have a matching "}" character for all the "{" characters within this block, and that none of the "}" characters are being interpreted as markup.		C:\Users\KTDA\source\repos\MochamaB\FormReporting\Views\Shared\Components\Wizards\_HorizontalWizard.cshtml	181	
Error (active)	RZ1026	Encountered end tag "div" with no matching start tag.  Are your start/end tags properly balanced?		C:\Users\KTDA\source\repos\MochamaB\FormReporting\Views\Shared\Components\Wizards\_HorizontalWizard.cshtml	251	
Error (active)	RZ1026	Encountered end tag "div" with no matching start tag.  Are your start/end tags properly balanced?		C:\Users\KTDA\source\repos\MochamaB\FormReporting\Views\Shared\Components\Wizards\_HorizontalWizard.cshtml	291	
Error (active)	CS0103	The name 'Html' does not exist in the current context	FormReporting	C:\Users\KTDA\source\repos\MochamaB\FormReporting\Views\Shared\Components\Wizards\_HorizontalWizard.cshtml	244	
Error (active)	CS0106	The modifier 'public' is not valid for this item	FormReporting	C:\Users\KTDA\source\repos\MochamaB\FormReporting\Views\Shared\Components\Wizards\_HorizontalWizard.cshtml	290	
Error (active)	CS1002	; expected	FormReporting	C:\Users\KTDA\source\repos\MochamaB\FormReporting\Views\Shared\Components\Wizards\_HorizontalWizard.cshtml	290	
Error (active)	CS1513	} expected	FormReporting	C:\Users\KTDA\source\repos\MochamaB\FormReporting\Views\Shared\Components\Wizards\_HorizontalWizard.cshtml	290	
Error (active)	CS1519	Invalid token ';' in a member declaration	FormReporting	C:\Users\KTDA\source\repos\MochamaB\FormReporting\Views\Shared\Components\Wizards\_HorizontalWizard.cshtml	290	
Error (active)	CS1022	Type or namespace definition, or end-of-file expected	FormReporting	C:\Users\KTDA\source\repos\MochamaB\FormReporting\Views\Shared\Components\Wizards\_HorizontalWizard.cshtml	290	
Error (active)	CS1022	Type or namespace definition, or end-of-file expected	FormReporting	C:\Users\KTDA\source\repos\MochamaB\FormReporting\Views\Shared\Components\Wizards\_HorizontalWizard.cshtml	290	
Error (active)	CS0116	A namespace cannot directly contain members such as fields, methods or statements	FormReporting	C:\Users\KTDA\source\repos\MochamaB\FormReporting\Views\Shared\Components\Wizards\_HorizontalWizard.cshtml	290	
Error (active)	CS0116	A namespace cannot directly contain members such as fields, methods or statements	FormReporting	C:\Users\KTDA\source\repos\MochamaB\FormReporting\Views\Shared\Components\Wizards\_HorizontalWizard.cshtml	290	
Error (active)	CS0116	A namespace cannot directly contain members such as fields, methods or statements	FormReporting	C:\Users\KTDA\source\repos\MochamaB\FormReporting\Views\Shared\Components\Wizards\_HorizontalWizard.cshtml	290	
Error (active)	CS0116	A namespace cannot directly contain members such as fields, methods or statements	FormReporting	C:\Users\KTDA\source\repos\MochamaB\FormReporting\Views\Shared\Components\Wizards\_HorizontalWizard.cshtml	290	
Error (active)	CS7014	Attributes are not valid in this context.	FormReporting	C:\Users\KTDA\source\repos\MochamaB\FormReporting\Views\Shared\Components\Wizards\_HorizontalWizard.cshtml	290	
Error (active)	CS0103	The name 'get' does not exist in the current context	FormReporting	C:\Users\KTDA\source\repos\MochamaB\FormReporting\Views\Shared\Components\Wizards\_HorizontalWizard.cshtml	290	
Error (active)	CS0201	Only assignment, call, increment, decrement, await, and new object expressions can be used as a statement	FormReporting	C:\Users\KTDA\source\repos\MochamaB\FormReporting\Views\Shared\Components\Wizards\_HorizontalWizard.cshtml	290	
Error (active)	IDE1007	The name 'set' does not exist in the current context.	FormReporting	C:\Users\KTDA\source\repos\MochamaB\FormReporting\Views\Shared\Components\Wizards\_HorizontalWizard.cshtml	290	
